Full Name,Gender,Enrollment Status,Program of Study / Major,Enrollment Date,Graduation Date,County,University Enrolled
John Kariuki,Male,Withdrawn,Law,2019-11-24,,Nairobi,JKUAT
David Nyambura,Male,Withdrawn,Psychology,2023-05-06,,Meru,University of Nairobi
David Achieng,Male,Withdrawn,Psychology,2019-09-17,,Meru,JKUAT
Jane Kariuki,Female,Not Enrolled,Mechanical Engineering,2022-09-08,,Kiambu,Moi University
Alice Odhiambo,Female,Enrolled,Business Administration,2020-05-07,2024-05-06,Nairobi,Moi University
Emily Mwangi,Female,Enrolled,Education,2024-03-17,2028-03-16,Nairobi,Kenyatta University
Michael Karanja,Male,Withdrawn,Nursing,2022-07-29,,Nyeri,Moi University
Emily Kariuki,Female,Enrolled,Psychology,2021-10-06,2024-10-05,Nairobi,University of Nairobi
James Karanja,Male,Enrolled,Nursing,2018-03-07,2023-03-06,Nyeri,Kenyatta University
Jane Wambui,Female,Withdrawn,Law,2020-01-19,,Machakos,Kenyatta University
Luke Kariuki,Male,Withdrawn,Law,2022-04-01,,Kisumu,University of Nairobi
David Odhiambo,Male,Enrolled,Law,2019-02-21,2023-02-20,Mombasa,Egerton University
Richard Otieno,Male,Not Enrolled,Education,2024-09-03,,Machakos,JKUAT
Peter Mwangi,Male,Not Enrolled,Computer Science,2019-05-28,,Nairobi,Kenyatta University
Mary Nyambura,Female,Enrolled,Business Administration,2018-09-09,2023-09-08,Machakos,Kenyatta University
Emily Wambui,Female,Not Enrolled,Computer Science,2018-02-04,,Nakuru,Kenyatta University
James Karanja,Male,Enrolled,Nursing,2023-06-21,2026-06-20,Nairobi,JKUAT
Daniel Kariuki,Male,Enrolled,Nursing,2024-10-03,2026-10-03,Nakuru,Egerton University
Sarah Otieno,Female,Not Enrolled,Mechanical Engineering,2024-12-27,,Nyeri,University of Nairobi
Daniel Kariuki,Male,Enrolled,Business Administration,2020-06-20,2021-06-20,Machakos,Egerton University
Mary Achieng,Female,Not Enrolled,Psychology,2023-12-15,,Meru,Moi University
James Karanja,Male,Not Enrolled,Psychology,2018-12-13,,Nyeri,University of Nairobi
Luke Odhiambo,Male,Withdrawn,Mechanical Engineering,2023-06-03,,Kisumu,Egerton University
Daniel Otieno,Male,Withdrawn,Computer Science,2019-11-02,,Meru,JKUAT
Daniel Achieng,Male,Not Enrolled,Psychology,2024-08-30,,Nairobi,Kenyatta University
Alice Nyambura,Female,Withdrawn,Law,2024-01-18,,Kisumu,Egerton University
Alice Wambui,Female,Not Enrolled,Nursing,2018-12-15,,Nairobi,Egerton University
Sarah Wambui,Female,Withdrawn,Mechanical Engineering,2021-07-18,,Nyeri,University of Nairobi
Michael Otieno,Male,Enrolled,Mechanical Engineering,2018-07-15,2019-07-15,Meru,Moi University
Daniel Achieng,Male,Withdrawn,Business Administration,2022-10-13,,Nyeri,Moi University
Lucy Kariuki,Female,Withdrawn,Psychology,2023-08-30,,Nyeri,Moi University
Grace Njeri,Female,Withdrawn,Law,2021-09-19,,Kiambu,JKUAT
Alice Odhiambo,Female,Enrolled,Computer Science,2022-04-17,2025-04-16,Machakos,JKUAT
Grace Njeri,Female,Not Enrolled,Computer Science,2019-05-11,,Machakos,Egerton University
Elizabeth Achieng,Female,Withdrawn,Law,2018-02-11,,Meru,JKUAT
David Otieno,Male,Withdrawn,Nursing,2023-10-20,,Meru,JKUAT
Jane Kariuki,Female,Withdrawn,Business Administration,2020-12-11,,Nakuru,JKUAT
Emily Odhiambo,Female,Withdrawn,Computer Science,2018-11-14,,Nyeri,University of Nairobi
Jane Mwangi,Female,Withdrawn,Computer Science,2022-08-12,,Nyeri,JKUAT
Richard Otieno,Male,Enrolled,Law,2022-06-30,2028-06-28,Kiambu,Kenyatta University
Michael Wambui,Male,Not Enrolled,Business Administration,2018-07-10,,Nakuru,Egerton University
Michael Otieno,Male,Enrolled,Business Administration,2022-09-03,2025-09-02,Nyeri,Kenyatta University
Daniel Wambui,Male,Not Enrolled,Computer Science,2023-12-05,,Meru,JKUAT
Alice Achieng,Female,Not Enrolled,Nursing,2020-01-28,,Nyeri,Egerton University
John Wambui,Male,Enrolled,Education,2023-09-04,2027-09-03,Kisumu,Egerton University
Emily Wambui,Female,Withdrawn,Education,2020-05-10,,Machakos,Kenyatta University
Luke Karanja,Male,Not Enrolled,Business Administration,2024-01-18,,Machakos,Moi University
Daniel Wambui,Male,Enrolled,Mechanical Engineering,2019-11-10,2020-11-09,Machakos,Kenyatta University
Samuel Njeri,Male,Not Enrolled,Education,2019-12-06,,Meru,University of Nairobi
Alice Achieng,Female,Withdrawn,Psychology,2019-08-05,,Nairobi,Moi University
Elizabeth Njeri,Female,Enrolled,Business Administration,2022-10-19,2025-10-18,Machakos,Moi University
Joseph Achieng,Male,Enrolled,Business Administration,2018-06-24,2023-06-23,Meru,Moi University
Alice Otieno,Female,Withdrawn,Mechanical Engineering,2020-02-21,,Meru,JKUAT
Joseph Nyambura,Male,Not Enrolled,Law,2022-08-11,,Kisumu,Kenyatta University
Michael Odhiambo,Male,Not Enrolled,Law,2019-07-16,,Nyeri,JKUAT
Lucy Njeri,Female,Not Enrolled,Computer Science,2021-11-05,,Nakuru,Moi University
Daniel Nyambura,Male,Withdrawn,Education,2023-08-25,,Meru,Moi University
Emily Otieno,Female,Withdrawn,Education,2022-03-21,,Kisumu,University of Nairobi
Jane Achieng,Female,Withdrawn,Business Administration,2021-08-30,,Kiambu,University of Nairobi
Wangari Nyambura,Female,Enrolled,Psychology,2021-12-24,2024-12-23,Meru,JKUAT
David Achieng,Male,Enrolled,Nursing,2023-09-16,2024-09-15,Nyeri,Kenyatta University
Alice Karanja,Female,Enrolled,Law,2023-02-04,2029-02-02,Nakuru,University of Nairobi
Mary Kariuki,Female,Not Enrolled,Mechanical Engineering,2019-11-02,,Nyeri,JKUAT
David Karanja,Male,Enrolled,Education,2019-10-25,2023-10-24,Nakuru,JKUAT
Emily Nyambura,Female,Withdrawn,Mechanical Engineering,2019-09-21,,Nairobi,Egerton University
Mary Nyambura,Female,Withdrawn,Nursing,2018-03-13,,Nakuru,Moi University
Elizabeth Mwangi,Female,Enrolled,Education,2023-07-23,2028-07-21,Meru,University of Nairobi
Joseph Kariuki,Male,Not Enrolled,Psychology,2022-02-26,,Kiambu,Moi University
Mary Otieno,Female,Withdrawn,Psychology,2022-11-04,,Mombasa,Kenyatta University
Luke Otieno,Male,Enrolled,Business Administration,2020-08-13,2024-08-12,Nyeri,JKUAT
Alice Wambui,Female,Not Enrolled,Education,2023-12-25,,Meru,University of Nairobi
Alice Mwangi,Female,Not Enrolled,Business Administration,2024-07-21,,Meru,University of Nairobi
Luke Njeri,Male,Not Enrolled,Nursing,2021-08-06,,Meru,University of Nairobi
Jane Njeri,Female,Enrolled,Education,2023-09-17,2029-09-15,Kisumu,Egerton University
Jane Mwangi,Female,Not Enrolled,Education,2022-08-07,,Nakuru,Egerton University
Elizabeth Karanja,Female,Not Enrolled,Computer Science,2023-11-04,,Machakos,University of Nairobi
Richard Otieno,Male,Enrolled,Nursing,2020-09-06,2026-09-05,Kisumu,University of Nairobi
David Mwangi,Male,Enrolled,Psychology,2018-05-31,2021-05-30,Machakos,JKUAT
John Njeri,Male,Withdrawn,Nursing,2018-02-03,,Kisumu,JKUAT
Mary Odhiambo,Female,Enrolled,Computer Science,2019-09-17,2021-09-16,Machakos,JKUAT
Esther Odhiambo,Female,Not Enrolled,Mechanical Engineering,2022-07-20,,Mombasa,Egerton University
Luke Karanja,Male,Withdrawn,Law,2023-10-15,,Nyeri,Egerton University
Sarah Nyambura,Female,Withdrawn,Law,2023-07-10,,Meru,JKUAT
John Mwangi,Male,Not Enrolled,Business Administration,2018-03-13,,Kiambu,Kenyatta University
Lucy Wambui,Female,Withdrawn,Law,2022-09-24,,Meru,Egerton University
Samuel Njeri,Male,Enrolled,Business Administration,2023-07-19,2027-07-18,Nyeri,Egerton University
Daniel Otieno,Male,Withdrawn,Nursing,2020-12-03,,Kiambu,University of Nairobi
John Odhiambo,Male,Not Enrolled,Law,2020-02-04,,Kisumu,Moi University
Peter Mwangi,Male,Withdrawn,Education,2020-03-10,,Nairobi,JKUAT
Esther Otieno,Female,Enrolled,Computer Science,2022-05-29,2025-05-28,Nyeri,Moi University
Samuel Otieno,Male,Withdrawn,Law,2021-07-28,,Meru,Moi University
Samuel Karanja,Male,Not Enrolled,Nursing,2023-04-14,,Mombasa,JKUAT
Richard Njeri,Male,Withdrawn,Education,2023-01-04,,Nairobi,Kenyatta University
Alice Njeri,Female,Not Enrolled,Nursing,2020-08-08,,Mombasa,Egerton University
Richard Otieno,Male,Enrolled,Psychology,2024-01-04,2029-01-02,Meru,University of Nairobi
Sarah Njeri,Female,Not Enrolled,Computer Science,2022-09-22,,Nairobi,JKUAT
Grace Njeri,Female,Enrolled,Business Administration,2020-01-15,2025-01-13,Nyeri,Egerton University
John Wambui,Male,Not Enrolled,Psychology,2023-08-20,,Nyeri,JKUAT
Samuel Mwangi,Male,Not Enrolled,Education,2018-08-05,,Machakos,Kenyatta University
Peter Mwangi,Male,Enrolled,Business Administration,2018-11-10,2020-11-09,Kisumu,Kenyatta University
Samuel Karanja,Male,Withdrawn,Mechanical Engineering,2024-08-31,,Mombasa,Kenyatta University
Samuel Njeri,Male,Enrolled,Psychology,2022-02-20,2025-02-19,Nairobi,Egerton University
Sarah Karanja,Female,Not Enrolled,Psychology,2018-06-01,,Machakos,Kenyatta University
Grace Otieno,Female,Not Enrolled,Law,2022-01-01,,Kisumu,Kenyatta University
Peter Mwangi,Male,Enrolled,Nursing,2024-09-04,2027-09-04,Machakos,Kenyatta University
Richard Wambui,Male,Enrolled,Nursing,2018-06-08,2022-06-07,Nyeri,Moi University
Alice Achieng,Female,Withdrawn,Mechanical Engineering,2019-10-12,,Nairobi,Egerton University
Elizabeth Karanja,Female,Withdrawn,Business Administration,2022-07-21,,Mombasa,JKUAT
David Njeri,Male,Not Enrolled,Education,2018-01-16,,Nairobi,University of Nairobi
Daniel Karanja,Male,Withdrawn,Education,2020-08-09,,Mombasa,Kenyatta University
Daniel Mwangi,Male,Not Enrolled,Mechanical Engineering,2024-03-03,,Machakos,Egerton University
Lucy Njeri,Female,Withdrawn,Psychology,2022-08-02,,Nakuru,University of Nairobi
Emily Achieng,Female,Enrolled,Computer Science,2022-07-04,2027-07-03,Meru,Kenyatta University
James Mwangi,Male,Not Enrolled,Nursing,2020-09-21,,Kisumu,Kenyatta University
Alice Wambui,Female,Not Enrolled,Law,2020-12-21,,Meru,JKUAT
Luke Achieng,Male,Withdrawn,Nursing,2024-12-03,,Meru,Egerton University
Emily Otieno,Female,Not Enrolled,Psychology,2023-01-04,,Meru,Egerton University
David Mwangi,Male,Not Enrolled,Psychology,2020-07-10,,Nakuru,Egerton University
Emily Otieno,Female,Enrolled,Computer Science,2024-12-16,2028-12-15,Nyeri,University of Nairobi
Alice Karanja,Female,Enrolled,Business Administration,2018-02-22,2023-02-21,Nairobi,JKUAT
Sarah Otieno,Female,Withdrawn,Law,2023-08-26,,Mombasa,Egerton University
Joseph Njeri,Male,Enrolled,Education,2019-02-17,2022-02-16,Kisumu,JKUAT
Emily Kariuki,Female,Enrolled,Law,2018-05-15,2019-05-15,Machakos,University of Nairobi
Joseph Achieng,Male,Withdrawn,Psychology,2024-03-11,,Kisumu,Egerton University
Lucy Nyambura,Female,Not Enrolled,Nursing,2021-06-24,,Kiambu,Moi University
Emily Nyambura,Female,Enrolled,Business Administration,2022-12-16,2028-12-14,Kiambu,Egerton University
Michael Nyambura,Male,Not Enrolled,Business Administration,2019-03-08,,Machakos,Kenyatta University
Michael Njeri,Male,Withdrawn,Education,2020-08-01,,Mombasa,Egerton University
Grace Kariuki,Female,Enrolled,Mechanical Engineering,2023-04-01,2026-03-31,Kisumu,University of Nairobi
John Wambui,Male,Not Enrolled,Computer Science,2022-03-22,,Kisumu,University of Nairobi
Emily Kariuki,Female,Withdrawn,Nursing,2024-01-08,,Nairobi,JKUAT
Wangari Nyambura,Female,Withdrawn,Education,2020-03-30,,Kisumu,Egerton University
Wangari Karanja,Female,Withdrawn,Psychology,2024-05-19,,Kisumu,JKUAT
Emily Karanja,Female,Not Enrolled,Computer Science,2020-01-12,,Kisumu,Moi University
John Otieno,Male,Enrolled,Law,2020-04-10,2023-04-10,Kisumu,Egerton University
Daniel Karanja,Male,Withdrawn,Computer Science,2019-07-18,,Kiambu,JKUAT
Alice Karanja,Female,Enrolled,Mechanical Engineering,2021-09-28,2027-09-27,Nyeri,Moi University
Richard Nyambura,Male,Not Enrolled,Computer Science,2019-11-06,,Meru,Kenyatta University
Lucy Odhiambo,Female,Enrolled,Psychology,2021-08-07,2025-08-06,Meru,Moi University
Esther Njeri,Female,Enrolled,Computer Science,2020-01-17,2025-01-15,Meru,University of Nairobi
Samuel Mwangi,Male,Withdrawn,Computer Science,2023-07-20,,Nakuru,Kenyatta University
Esther Kariuki,Female,Not Enrolled,Law,2021-07-25,,Kisumu,Moi University
Alice Otieno,Female,Not Enrolled,Law,2022-04-08,,Nyeri,University of Nairobi
Mary Wambui,Female,Withdrawn,Law,2020-10-19,,Nyeri,JKUAT
Lucy Mwangi,Female,Withdrawn,Computer Science,2024-12-28,,Meru,JKUAT
Michael Mwangi,Male,Not Enrolled,Nursing,2018-12-25,,Kiambu,Kenyatta University
Grace Karanja,Female,Enrolled,Psychology,2023-10-02,2028-09-30,Nyeri,JKUAT
Samuel Mwangi,Male,Enrolled,Business Administration,2020-01-17,2022-01-16,Mombasa,Moi University
Lucy Odhiambo,Female,Enrolled,Computer Science,2018-08-17,2022-08-16,Nakuru,University of Nairobi
Wangari Achieng,Female,Withdrawn,Education,2021-11-22,,Kisumu,University of Nairobi
John Odhiambo,Male,Withdrawn,Computer Science,2023-06-23,,Mombasa,Egerton University
Mary Kariuki,Female,Withdrawn,Psychology,2023-05-22,,Kisumu,Moi University
Daniel Wambui,Male,Not Enrolled,Law,2024-03-18,,Nakuru,University of Nairobi
Wangari Njeri,Female,Withdrawn,Education,2019-10-02,,Nakuru,University of Nairobi
Grace Wambui,Female,Not Enrolled,Education,2018-02-15,,Meru,Kenyatta University
Sarah Kariuki,Female,Enrolled,Education,2024-05-30,2030-05-29,Mombasa,University of Nairobi
Daniel Mwangi,Male,Enrolled,Nursing,2023-05-03,2025-05-02,Nairobi,Egerton University
Peter Achieng,Male,Withdrawn,Business Administration,2023-05-11,,Meru,University of Nairobi
Grace Achieng,Female,Withdrawn,Psychology,2022-03-06,,Nakuru,Moi University
Peter Otieno,Male,Not Enrolled,Business Administration,2019-10-26,,Kiambu,JKUAT
Esther Achieng,Female,Withdrawn,Computer Science,2019-03-05,,Nyeri,Moi University
Elizabeth Wambui,Female,Not Enrolled,Mechanical Engineering,2021-02-17,,Nakuru,Moi University
Mary Mwangi,Female,Not Enrolled,Psychology,2021-01-23,,Nairobi,Moi University
Elizabeth Nyambura,Female,Not Enrolled,Computer Science,2019-11-19,,Machakos,Egerton University
Sarah Wambui,Female,Withdrawn,Business Administration,2022-08-07,,Kisumu,University of Nairobi
Alice Njeri,Female,Withdrawn,Computer Science,2022-07-05,,Nairobi,Egerton University
Joseph Njeri,Male,Withdrawn,Mechanical Engineering,2020-05-09,,Nakuru,JKUAT
Luke Otieno,Male,Withdrawn,Computer Science,2020-04-21,,Machakos,Moi University
Alice Otieno,Female,Withdrawn,Education,2022-03-16,,Nairobi,JKUAT
Sarah Wambui,Female,Withdrawn,Business Administration,2020-01-23,,Mombasa,JKUAT
John Wambui,Male,Enrolled,Education,2024-03-02,2030-03-01,Kisumu,JKUAT
Elizabeth Otieno,Female,Not Enrolled,Nursing,2019-07-07,,Kiambu,University of Nairobi
Peter Odhiambo,Male,Withdrawn,Business Administration,2018-07-19,,Nakuru,JKUAT
Richard Odhiambo,Male,Not Enrolled,Psychology,2018-01-05,,Kisumu,Egerton University
James Kariuki,Male,Withdrawn,Nursing,2020-12-31,,Meru,JKUAT
Esther Karanja,Female,Withdrawn,Nursing,2023-09-20,,Nairobi,Kenyatta University
John Njeri,Male,Not Enrolled,Law,2023-01-13,,Kisumu,University of Nairobi
Sarah Mwangi,Female,Withdrawn,Education,2020-02-01,,Machakos,JKUAT
Luke Odhiambo,Male,Withdrawn,Mechanical Engineering,2018-09-03,,Kisumu,JKUAT
Peter Otieno,Male,Enrolled,Education,2019-10-01,2023-09-30,Machakos,JKUAT
Luke Wambui,Male,Enrolled,Law,2020-03-18,2021-03-18,Meru,Kenyatta University
Wangari Odhiambo,Female,Enrolled,Law,2023-02-01,2028-01-31,Meru,University of Nairobi
Mary Achieng,Female,Not Enrolled,Computer Science,2018-08-17,,Mombasa,University of Nairobi
David Achieng,Male,Enrolled,Law,2019-04-23,2022-04-22,Kisumu,JKUAT
Emily Odhiambo,Female,Enrolled,Psychology,2024-09-15,2029-09-14,Nakuru,Moi University
Lucy Wambui,Female,Not Enrolled,Law,2021-03-26,,Nairobi,JKUAT
Jane Kariuki,Female,Not Enrolled,Nursing,2020-11-17,,Nairobi,Egerton University
Alice Karanja,Female,Enrolled,Mechanical Engineering,2019-07-11,2020-07-10,Machakos,Egerton University
James Achieng,Male,Not Enrolled,Psychology,2023-09-10,,Nairobi,Kenyatta University
David Otieno,Male,Withdrawn,Education,2022-01-15,,Kisumu,JKUAT
Elizabeth Kariuki,Female,Enrolled,Education,2018-10-25,2022-10-24,Nairobi,Kenyatta University
Wangari Wambui,Female,Not Enrolled,Psychology,2024-09-05,,Nakuru,Kenyatta University
David Kariuki,Male,Withdrawn,Mechanical Engineering,2021-06-05,,Mombasa,University of Nairobi
James Odhiambo,Male,Withdrawn,Psychology,2018-02-22,,Mombasa,JKUAT
James Odhiambo,Male,Withdrawn,Mechanical Engineering,2022-06-03,,Nakuru,Moi University
Emily Njeri,Female,Enrolled,Mechanical Engineering,2020-06-17,2022-06-17,Kiambu,Moi University
Richard Nyambura,Male,Not Enrolled,Mechanical Engineering,2018-11-16,,Nairobi,JKUAT
Samuel Achieng,Male,Enrolled,Mechanical Engineering,2022-02-02,2026-02-01,Kisumu,JKUAT
Sarah Njeri,Female,Withdrawn,Law,2024-11-13,,Kiambu,Moi University
David Nyambura,Male,Withdrawn,Business Administration,2020-04-30,,Nairobi,Egerton University
David Nyambura,Male,Not Enrolled,Psychology,2023-05-29,,Kiambu,Kenyatta University
James Karanja,Male,Not Enrolled,Education,2019-09-02,,Kiambu,JKUAT
John Otieno,Male,Withdrawn,Nursing,2018-10-25,,Machakos,University of Nairobi
Grace Otieno,Female,Enrolled,Business Administration,2021-05-01,2025-04-30,Meru,JKUAT
Esther Mwangi,Female,Not Enrolled,Education,2024-08-02,,Kisumu,JKUAT
Sarah Achieng,Female,Withdrawn,Psychology,2021-08-07,,Meru,Egerton University
Michael Wambui,Male,Not Enrolled,Psychology,2024-09-10,,Machakos,Egerton University
Emily Otieno,Female,Not Enrolled,Business Administration,2020-11-29,,Machakos,JKUAT
Samuel Mwangi,Male,Withdrawn,Law,2018-09-14,,Nyeri,University of Nairobi
Wangari Karanja,Female,Enrolled,Law,2018-06-06,2020-06-05,Nairobi,Moi University
James Nyambura,Male,Withdrawn,Education,2019-04-19,,Mombasa,Kenyatta University
Elizabeth Nyambura,Female,Not Enrolled,Psychology,2019-12-06,,Nyeri,JKUAT
Esther Odhiambo,Female,Not Enrolled,Nursing,2020-10-27,,Nairobi,University of Nairobi
Jane Wambui,Female,Enrolled,Computer Science,2018-05-27,2023-05-26,Kisumu,Kenyatta University
Jane Karanja,Female,Withdrawn,Business Administration,2021-09-26,,Meru,University of Nairobi
Michael Karanja,Male,Enrolled,Psychology,2024-04-09,2026-04-09,Mombasa,University of Nairobi
Emily Karanja,Female,Withdrawn,Business Administration,2023-07-01,,Nakuru,Moi University
Michael Achieng,Male,Enrolled,Nursing,2020-08-29,2021-08-29,Kiambu,Kenyatta University
Mary Wambui,Female,Enrolled,Law,2021-09-24,2024-09-23,Mombasa,Moi University
Sarah Otieno,Female,Withdrawn,Business Administration,2019-04-14,,Meru,University of Nairobi
Daniel Kariuki,Male,Not Enrolled,Education,2018-04-24,,Mombasa,Kenyatta University
Sarah Njeri,Female,Enrolled,Computer Science,2019-04-10,2021-04-09,Nakuru,Kenyatta University
Peter Mwangi,Male,Enrolled,Mechanical Engineering,2023-12-08,2024-12-07,Kisumu,University of Nairobi
Daniel Wambui,Male,Not Enrolled,Education,2022-09-05,,Meru,Kenyatta University
Peter Otieno,Male,Withdrawn,Computer Science,2019-01-27,,Nakuru,Moi University
Samuel Achieng,Male,Enrolled,Education,2018-02-09,2022-02-08,Nyeri,Kenyatta University
Emily Odhiambo,Female,Withdrawn,Computer Science,2018-03-13,,Nakuru,Moi University
Alice Nyambura,Female,Withdrawn,Law,2024-11-28,,Nairobi,Moi University
Elizabeth Odhiambo,Female,Enrolled,Computer Science,2020-07-08,2022-07-08,Nairobi,University of Nairobi
Jane Wambui,Female,Withdrawn,Law,2019-06-05,,Kisumu,Egerton University
Sarah Otieno,Female,Withdrawn,Mechanical Engineering,2019-07-09,,Nairobi,University of Nairobi
Sarah Achieng,Female,Withdrawn,Psychology,2019-06-24,,Kisumu,University of Nairobi
Mary Njeri,Female,Withdrawn,Business Administration,2019-01-18,,Kisumu,Moi University
Elizabeth Mwangi,Female,Withdrawn,Nursing,2022-02-22,,Nairobi,University of Nairobi
Wangari Wambui,Female,Enrolled,Computer Science,2024-01-16,2028-01-15,Kisumu,Moi University
Sarah Odhiambo,Female,Withdrawn,Education,2019-03-15,,Nakuru,Moi University
Joseph Kariuki,Male,Not Enrolled,Law,2023-04-03,,Nairobi,Kenyatta University
Daniel Otieno,Male,Not Enrolled,Psychology,2019-12-13,,Kiambu,Moi University
James Nyambura,Male,Withdrawn,Law,2023-01-19,,Nakuru,JKUAT
Jane Wambui,Female,Enrolled,Mechanical Engineering,2022-01-15,2027-01-14,Machakos,University of Nairobi
Jane Karanja,Female,Enrolled,Business Administration,2023-11-04,2029-11-02,Nakuru,Kenyatta University
Jane Njeri,Female,Enrolled,Business Administration,2019-10-16,2022-10-15,Machakos,University of Nairobi
Daniel Wambui,Male,Enrolled,Mechanical Engineering,2018-12-10,2022-12-09,Kiambu,University of Nairobi
John Njeri,Male,Withdrawn,Education,2024-01-12,,Meru,University of Nairobi
Peter Njeri,Male,Enrolled,Business Administration,2022-02-14,2028-02-13,Mombasa,Kenyatta University
David Mwangi,Male,Not Enrolled,Psychology,2018-01-12,,Kiambu,Moi University
Samuel Otieno,Male,Enrolled,Law,2024-06-10,2025-06-10,Kiambu,University of Nairobi
Wangari Wambui,Female,Not Enrolled,Mechanical Engineering,2018-09-12,,Nyeri,Kenyatta University
Luke Nyambura,Male,Not Enrolled,Mechanical Engineering,2019-10-22,,Nakuru,Egerton University
Wangari Achieng,Female,Withdrawn,Law,2018-04-27,,Nyeri,JKUAT
Mary Njeri,Female,Not Enrolled,Psychology,2018-07-11,,Meru,Moi University
Michael Karanja,Male,Enrolled,Law,2024-03-25,2025-03-25,Nairobi,Moi University
Richard Wambui,Male,Enrolled,Computer Science,2024-11-27,2029-11-26,Machakos,Kenyatta University
Jane Karanja,Female,Enrolled,Education,2021-03-14,2026-03-13,Mombasa,JKUAT
Peter Mwangi,Male,Enrolled,Education,2020-03-21,2024-03-20,Nyeri,Egerton University
Samuel Achieng,Male,Enrolled,Nursing,2019-03-19,2024-03-17,Nakuru,University of Nairobi
Daniel Nyambura,Male,Withdrawn,Psychology,2021-08-30,,Kisumu,University of Nairobi
Sarah Nyambura,Female,Withdrawn,Mechanical Engineering,2020-09-11,,Machakos,Kenyatta University
Sarah Otieno,Female,Enrolled,Psychology,2024-01-02,2029-12-31,Kiambu,Egerton University
John Nyambura,Male,Enrolled,Nursing,2021-02-19,2023-02-19,Kiambu,JKUAT
Joseph Njeri,Male,Not Enrolled,Law,2023-12-05,,Nairobi,Kenyatta University
Alice Karanja,Female,Withdrawn,Nursing,2019-10-02,,Nyeri,Moi University
Joseph Karanja,Male,Enrolled,Computer Science,2020-02-15,2023-02-14,Meru,University of Nairobi
David Wambui,Male,Enrolled,Nursing,2021-10-31,2027-10-30,Machakos,University of Nairobi
Esther Karanja,Female,Withdrawn,Mechanical Engineering,2021-06-20,,Machakos,University of Nairobi
Joseph Njeri,Male,Withdrawn,Psychology,2020-09-24,,Nyeri,Kenyatta University
Lucy Otieno,Female,Not Enrolled,Psychology,2021-11-02,,Mombasa,Egerton University
Emily Wambui,Female,Enrolled,Computer Science,2021-08-04,2027-08-03,Nakuru,JKUAT
Joseph Kariuki,Male,Not Enrolled,Mechanical Engineering,2023-05-11,,Nairobi,Moi University
David Nyambura,Male,Not Enrolled,Law,2019-06-29,,Mombasa,University of Nairobi
Wangari Njeri,Female,Enrolled,Law,2019-01-02,2023-01-01,Nyeri,Moi University
Peter Kariuki,Male,Enrolled,Mechanical Engineering,2023-08-02,2028-07-31,Nyeri,Kenyatta University
Alice Otieno,Female,Enrolled,Law,2023-01-29,2029-01-27,Nyeri,University of Nairobi
James Wambui,Male,Withdrawn,Computer Science,2019-05-16,,Nakuru,Kenyatta University
Michael Mwangi,Male,Withdrawn,Mechanical Engineering,2020-01-06,,Meru,Egerton University
Alice Otieno,Female,Withdrawn,Business Administration,2023-04-09,,Kisumu,Moi University
Peter Mwangi,Male,Enrolled,Psychology,2019-08-24,2020-08-23,Kiambu,Kenyatta University
Alice Karanja,Female,Not Enrolled,Law,2020-09-15,,Nakuru,Kenyatta University
Emily Njeri,Female,Withdrawn,Law,2019-03-09,,Nakuru,JKUAT
Luke Njeri,Male,Not Enrolled,Law,2022-06-08,,Nairobi,Moi University
Peter Odhiambo,Male,Not Enrolled,Psychology,2020-04-03,,Mombasa,Moi University
Daniel Mwangi,Male,Not Enrolled,Law,2018-11-27,,Nakuru,Moi University
Mary Odhiambo,Female,Withdrawn,Nursing,2020-08-28,,Kiambu,University of Nairobi
Richard Kariuki,Male,Not Enrolled,Mechanical Engineering,2021-12-05,,Kisumu,JKUAT
Esther Njeri,Female,Enrolled,Law,2021-06-26,2026-06-25,Kiambu,JKUAT
Samuel Wambui,Male,Withdrawn,Computer Science,2019-01-08,,Meru,JKUAT
Esther Karanja,Female,Withdrawn,Law,2018-04-20,,Kisumu,Egerton University
Samuel Otieno,Male,Enrolled,Computer Science,2019-08-24,2020-08-23,Nyeri,University of Nairobi
Daniel Odhiambo,Male,Not Enrolled,Psychology,2024-08-02,,Meru,JKUAT
Joseph Achieng,Male,Enrolled,Education,2021-08-14,2022-08-14,Mombasa,Egerton University
James Otieno,Male,Enrolled,Education,2019-04-02,2021-04-01,Kisumu,JKUAT
Joseph Karanja,Male,Enrolled,Mechanical Engineering,2018-05-15,2022-05-14,Kiambu,Egerton University
James Njeri,Male,Not Enrolled,Mechanical Engineering,2022-02-17,,Machakos,University of Nairobi
John Kariuki,Male,Not Enrolled,Nursing,2019-06-18,,Machakos,JKUAT
Mary Achieng,Female,Not Enrolled,Nursing,2021-01-22,,Nakuru,Kenyatta University
Jane Otieno,Female,Enrolled,Computer Science,2024-11-18,2027-11-18,Meru,JKUAT
Mary Kariuki,Female,Not Enrolled,Psychology,2018-06-18,,Machakos,Egerton University
Michael Kariuki,Male,Enrolled,Mechanical Engineering,2024-12-23,2028-12-22,Mombasa,Egerton University
Wangari Karanja,Female,Enrolled,Psychology,2019-03-21,2020-03-20,Meru,JKUAT
Lucy Wambui,Female,Not Enrolled,Nursing,2021-03-18,,Nyeri,Moi University
Richard Karanja,Male,Withdrawn,Computer Science,2023-02-20,,Nairobi,Egerton University
Wangari Mwangi,Female,Not Enrolled,Psychology,2020-04-26,,Nyeri,Kenyatta University
Jane Achieng,Female,Enrolled,Law,2021-07-18,2026-07-17,Machakos,Moi University
