Full Name,ID No,Gender,Enrollment Date,Program of Study,Course Code,Semester,Grade,GPA,Cumulative GPA,Course Status,Academic Standing
Esther Achieng,S87545504,Female,2019-05-17,Mechanical Engineering,ENGR301,Fall 2023,C,2.1,2.23,Completed,Suspended
Jane Njeri,S14985387,Female,2019-01-30,Psychology,MATH250,Summer 2024,C+,1.4,1.81,Failed,Suspended
Elizabeth Nyambura,S63004546,Female,2018-11-30,Computer Science,CS101,Summer 2024,C,2.5,2.16,Withdrawn,Good Standing
Joseph Odhiambo,S82035199,Male,2019-09-17,Nursing,MATH250,Fall 2024,B+,3.74,2.95,Withdrawn,Good Standing
Lucy Njeri,S45743833,Female,2024-11-08,Education,LAW102,Fall 2023,C,2.98,2.96,Withdrawn,Good Standing
Sarah Nyambura,S93749225,Female,2018-01-17,Education,CS101,Spring 2024,F,2.16,2.56,Withdrawn,Probation
John Karanja,S18687650,Male,2020-02-04,Psychology,BIO150,Spring 2024,D,2.21,2.38,Failed,Suspended
David Kariuki,S57753565,Male,2019-12-16,Law,ECON150,Summer 2024,B,3.06,2.72,Failed,Good Standing
Emily Otieno,S41407678,Female,2023-12-19,Computer Science,CS101,Spring 2024,A,3.39,3.06,Completed,Suspended
Emily Mwangi,S73747993,Female,2023-09-12,Education,LAW102,Summer 2024,F,1.61,2.33,Withdrawn,Probation
Richard Achieng,S39159783,Male,2018-07-15,Education,BIO150,Summer 2024,A,2.37,2.35,Withdrawn,Good Standing
Peter Karanja,S81037512,Male,2020-01-20,Education,ENGR301,Fall 2023,C,2.25,2.3,Withdrawn,Suspended
Peter Otieno,S53275543,Male,2024-03-20,Business Administration,ENGR301,Fall 2024,C,1.7,2.0,Withdrawn,Suspended
Jane Njeri,S31610333,Female,2018-12-04,Law,LAW102,Summer 2024,D,2.41,2.21,Withdrawn,Good Standing
Emily Njeri,S63144999,Female,2022-01-10,Computer Science,PSY201,Summer 2024,F,2.57,2.39,Failed,Suspended
James Nyambura,S14039038,Male,2022-08-09,Business Administration,ENGR301,Summer 2024,F,2.37,2.38,Failed,Good Standing
Esther Njeri,S67649631,Female,2021-10-05,Business Administration,ENGR301,Fall 2024,B+,1.13,1.75,Completed,Suspended
Michael Kariuki,S66895158,Male,2024-01-30,Education,LAW102,Spring 2024,C,1.93,1.84,Completed,Good Standing
Luke Kariuki,S96799855,Male,2018-07-18,Mechanical Engineering,CS101,Fall 2023,B+,1.39,1.61,Completed,Good Standing
Grace Kariuki,S22783919,Female,2023-03-24,Mechanical Engineering,CS101,Summer 2024,C,1.16,1.39,Completed,Suspended
Alice Odhiambo,S86512744,Female,2023-08-18,Nursing,LAW102,Summer 2024,A,2.45,1.92,Completed,Suspended
James Wambui,S20283394,Male,2022-02-21,Computer Science,CS101,Spring 2024,D,2.63,2.27,Withdrawn,Probation
Wangari Njeri,S94746771,Female,2021-02-19,Education,LAW102,Fall 2023,A,3.08,2.67,Withdrawn,Suspended
Mary Kariuki,S49298635,Female,2024-08-09,Education,ECON150,Fall 2023,A,2.09,2.38,Withdrawn,Probation
John Mwangi,S84859509,Male,2019-03-29,Mechanical Engineering,LAW102,Fall 2024,B+,2.28,2.33,Withdrawn,Good Standing
Michael Wambui,S56055800,Male,2018-12-24,Nursing,PSY201,Summer 2024,C,2.59,2.46,Failed,Suspended
David Njeri,S72307129,Male,2022-03-11,Law,CS101,Fall 2024,F,3.83,3.15,Failed,Suspended
Sarah Otieno,S54060019,Female,2023-03-09,Education,BIO150,Fall 2024,D+,1.38,2.26,Failed,Good Standing
James Karanja,S98074910,Male,2018-09-29,Computer Science,ECON150,Fall 2024,B+,1.38,1.82,Failed,Probation
Mary Mwangi,S15552462,Female,2024-11-29,Nursing,PSY201,Summer 2024,B+,3.48,2.65,Withdrawn,Probation
Luke Odhiambo,S90941404,Male,2021-12-20,Business Administration,CS101,Summer 2024,C,1.71,2.18,Withdrawn,Probation
Esther Nyambura,S50600231,Female,2022-04-23,Computer Science,CS101,Fall 2023,F,2.52,2.35,Failed,Probation
Wangari Njeri,S21655463,Female,2024-08-04,Computer Science,PSY201,Fall 2024,B+,3.22,2.79,Completed,Good Standing
Daniel Otieno,S23043147,Male,2018-11-07,Computer Science,ENGR301,Spring 2024,F,1.23,2.01,Completed,Suspended
Mary Otieno,S84134848,Female,2020-04-23,Education,CS101,Fall 2023,C,3.87,2.94,Withdrawn,Good Standing
Samuel Achieng,S60930518,Male,2024-08-27,Education,ENGR301,Fall 2023,D+,1.44,2.19,Failed,Good Standing
David Mwangi,S68897659,Male,2024-01-27,Education,BIO150,Fall 2023,C+,2.85,2.52,Failed,Good Standing
Mary Mwangi,S83422323,Female,2022-01-08,Business Administration,MATH250,Fall 2023,D,1.93,2.23,Failed,Probation
Joseph Karanja,S87143434,Male,2022-03-23,Psychology,CS101,Summer 2024,F,2.3,2.26,Failed,Probation
Luke Odhiambo,S85583745,Male,2021-09-04,Business Administration,PSY201,Fall 2023,C+,2.32,2.29,Completed,Probation
Michael Nyambura,S39233592,Male,2020-08-06,Psychology,CS101,Summer 2024,D,1.52,1.91,Failed,Good Standing
Richard Mwangi,S39680335,Male,2021-03-07,Law,ENGR301,Spring 2024,B,3.02,2.46,Completed,Good Standing
Joseph Njeri,S52150207,Male,2024-02-29,Mechanical Engineering,PSY201,Fall 2024,B+,2.48,2.47,Completed,Probation
Mary Achieng,S50054053,Female,2021-04-23,Law,PSY201,Summer 2024,B,2.77,2.62,Withdrawn,Good Standing
Esther Achieng,S72695587,Female,2021-08-10,Education,ENGR301,Spring 2024,B+,2.14,2.38,Completed,Good Standing
James Odhiambo,S19240375,Male,2019-02-02,Education,CS101,Fall 2023,D+,2.29,2.33,Completed,Good Standing
Joseph Njeri,S68144792,Male,2021-09-13,Mechanical Engineering,CS101,Summer 2024,D+,1.24,1.79,Withdrawn,Probation
Lucy Wambui,S15197271,Female,2021-03-08,Business Administration,CS101,Summer 2024,D+,2.34,2.06,Failed,Good Standing
James Njeri,S83029926,Male,2018-03-10,Education,BIO150,Summer 2024,F,2.35,2.21,Withdrawn,Probation
James Otieno,S65499145,Male,2024-09-10,Business Administration,ECON150,Summer 2024,D,3.18,2.7,Withdrawn,Suspended
Peter Nyambura,S86443992,Male,2024-07-23,Mechanical Engineering,ECON150,Fall 2024,D+,3.55,3.12,Completed,Suspended
Luke Njeri,S18570997,Male,2020-07-07,Nursing,CS101,Summer 2024,C,1.3,2.21,Completed,Good Standing
Samuel Karanja,S69206104,Male,2023-08-13,Psychology,MATH250,Fall 2023,D,3.32,2.76,Withdrawn,Probation
Sarah Odhiambo,S64628922,Female,2019-12-04,Mechanical Engineering,CS101,Fall 2024,A,3.23,3.0,Failed,Probation
Grace Karanja,S80006098,Female,2020-07-14,Computer Science,LAW102,Fall 2023,D+,3.39,3.2,Withdrawn,Good Standing
Esther Mwangi,S28729809,Female,2021-08-16,Mechanical Engineering,PSY201,Summer 2024,C,3.56,3.38,Withdrawn,Suspended
Wangari Wambui,S92886907,Female,2024-07-10,Psychology,CS101,Fall 2024,D,3.73,3.55,Completed,Probation
Luke Odhiambo,S27947108,Male,2024-06-30,Education,LAW102,Fall 2024,B+,1.54,2.54,Failed,Good Standing
Peter Karanja,S32674341,Male,2019-06-22,Mechanical Engineering,LAW102,Fall 2023,A,1.29,1.92,Completed,Probation
John Njeri,S38762939,Male,2021-02-21,Business Administration,ENGR301,Fall 2024,B+,1.9,1.91,Failed,Good Standing
Grace Wambui,S69455816,Female,2020-12-23,Mechanical Engineering,PSY201,Fall 2024,D,1.1,1.5,Completed,Suspended
Sarah Odhiambo,S67454956,Female,2018-02-14,Psychology,BIO150,Spring 2024,C,3.27,2.38,Withdrawn,Probation
Mary Kariuki,S74401074,Female,2024-06-01,Education,CS101,Fall 2024,B+,3.04,2.71,Completed,Suspended
Grace Wambui,S15583775,Female,2018-10-06,Mechanical Engineering,PSY201,Fall 2024,B+,2.01,2.36,Completed,Suspended
Grace Kariuki,S29081386,Female,2020-12-26,Psychology,MATH250,Fall 2023,F,2.56,2.46,Completed,Good Standing
Wangari Nyambura,S13836856,Female,2019-08-10,Mechanical Engineering,CS101,Spring 2024,A,2.64,2.55,Completed,Probation
Samuel Njeri,S33144996,Male,2021-09-20,Computer Science,BIO150,Summer 2024,C,2.19,2.37,Withdrawn,Probation
Richard Karanja,S63703250,Male,2019-01-05,Mechanical Engineering,LAW102,Spring 2024,C+,3.91,3.14,Withdrawn,Suspended
Sarah Mwangi,S28718395,Female,2024-07-12,Law,ENGR301,Fall 2024,A,1.07,2.1,Failed,Good Standing
Jane Njeri,S66204801,Female,2024-09-27,Law,LAW102,Fall 2023,D,3.74,2.92,Completed,Probation
Peter Mwangi,S86177819,Male,2021-12-25,Nursing,LAW102,Spring 2024,D+,2.27,2.59,Completed,Good Standing
Michael Njeri,S53636309,Male,2023-01-02,Computer Science,LAW102,Spring 2024,D,3.43,3.01,Failed,Good Standing
Peter Odhiambo,S59500027,Male,2020-06-01,Education,PSY201,Fall 2023,A,2.95,2.98,Withdrawn,Good Standing
Grace Mwangi,S83659448,Female,2022-06-12,Mechanical Engineering,ECON150,Spring 2024,C+,3.93,3.46,Completed,Suspended
Elizabeth Njeri,S42474479,Female,2018-07-22,Nursing,CS101,Summer 2024,B,3.22,3.34,Failed,Good Standing
Peter Kariuki,S32039615,Male,2019-07-16,Computer Science,ECON150,Fall 2023,D+,2.36,2.85,Withdrawn,Probation
Samuel Njeri,S80680310,Male,2018-12-22,Nursing,ENGR301,Summer 2024,D,1.27,2.06,Completed,Suspended
Daniel Wambui,S51667805,Male,2020-02-08,Nursing,BIO150,Fall 2023,D,2.72,2.39,Failed,Probation
Emily Odhiambo,S63165897,Female,2024-02-13,Psychology,ECON150,Fall 2024,B+,3.11,2.75,Failed,Probation
David Odhiambo,S10659061,Male,2019-05-31,Psychology,MATH250,Summer 2024,D+,1.44,2.09,Withdrawn,Suspended
Luke Otieno,S33918351,Male,2020-11-20,Psychology,BIO150,Fall 2023,A,2.01,2.05,Failed,Suspended
Sarah Otieno,S77395848,Female,2022-11-01,Business Administration,ECON150,Spring 2024,F,3.55,2.8,Withdrawn,Probation
Peter Mwangi,S75059001,Male,2020-11-23,Business Administration,ENGR301,Summer 2024,B,1.64,2.22,Failed,Probation
Wangari Wambui,S42569778,Female,2021-06-03,Psychology,PSY201,Fall 2024,C,3.48,2.85,Completed,Good Standing
John Karanja,S67298116,Male,2020-08-04,Nursing,ENGR301,Fall 2024,D,3.98,3.42,Completed,Good Standing
David Otieno,S68185881,Male,2024-06-12,Nursing,ECON150,Summer 2024,B+,2.44,2.93,Withdrawn,Good Standing
David Karanja,S96538111,Male,2018-01-28,Education,PSY201,Fall 2023,F,3.48,3.21,Completed,Good Standing
Daniel Achieng,S61801740,Male,2022-09-09,Law,MATH250,Fall 2024,C+,2.56,2.88,Completed,Suspended
Grace Otieno,S47205882,Female,2018-02-17,Nursing,PSY201,Fall 2024,C,3.25,3.06,Failed,Suspended
Samuel Njeri,S43517016,Male,2018-07-28,Psychology,PSY201,Fall 2023,B+,2.82,2.94,Failed,Probation
Michael Mwangi,S58076025,Male,2019-02-16,Computer Science,PSY201,Fall 2024,A,2.13,2.54,Failed,Good Standing
Wangari Kariuki,S25530441,Female,2023-08-18,Education,BIO150,Fall 2024,F,1.8,2.17,Failed,Good Standing
James Wambui,S84630957,Male,2024-01-24,Computer Science,BIO150,Spring 2024,D+,1.54,1.85,Failed,Suspended
Michael Otieno,S39923867,Male,2020-12-06,Education,CS101,Summer 2024,D,2.37,2.11,Failed,Suspended
Sarah Njeri,S10772178,Female,2021-10-25,Psychology,PSY201,Spring 2024,C+,3.59,2.85,Withdrawn,Probation
Joseph Achieng,S36849322,Male,2020-03-28,Computer Science,PSY201,Summer 2024,C,1.64,2.25,Withdrawn,Probation
John Odhiambo,S66569707,Male,2024-08-03,Computer Science,PSY201,Spring 2024,B,1.05,1.65,Failed,Probation
Sarah Otieno,S58996805,Female,2019-07-19,Nursing,LAW102,Fall 2023,C,2.61,2.13,Withdrawn,Probation
Richard Mwangi,S50088954,Male,2018-08-08,Mechanical Engineering,CS101,Fall 2023,F,3.31,2.72,Completed,Good Standing
David Njeri,S85693342,Male,2019-06-06,Psychology,BIO150,Summer 2024,C+,1.71,2.21,Failed,Good Standing
Esther Mwangi,S16145781,Female,2019-02-02,Computer Science,PSY201,Summer 2024,F,2.25,2.23,Failed,Good Standing
Grace Karanja,S61063987,Female,2022-12-19,Business Administration,ECON150,Summer 2024,B+,1.31,1.77,Completed,Good Standing
Peter Otieno,S85917603,Male,2018-02-22,Mechanical Engineering,ENGR301,Summer 2024,A,1.65,1.71,Withdrawn,Suspended
Michael Nyambura,S78655497,Male,2018-04-15,Education,CS101,Spring 2024,B+,3.05,2.38,Completed,Good Standing
Daniel Mwangi,S97803381,Male,2020-09-24,Mechanical Engineering,CS101,Summer 2024,A,3.94,3.16,Completed,Probation
Joseph Kariuki,S49544378,Male,2021-03-24,Law,BIO150,Summer 2024,B,1.9,2.53,Failed,Good Standing
Luke Njeri,S18829076,Male,2018-10-31,Nursing,MATH250,Fall 2023,B+,2.3,2.42,Completed,Suspended
Lucy Wambui,S41486535,Female,2024-07-10,Law,BIO150,Spring 2024,D+,1.31,1.86,Failed,Good Standing
John Odhiambo,S48719230,Male,2018-08-20,Business Administration,LAW102,Fall 2023,A,3.29,2.58,Completed,Suspended
Mary Njeri,S28704355,Female,2024-03-10,Nursing,LAW102,Summer 2024,C,2.52,2.55,Completed,Good Standing
Emily Karanja,S96178224,Female,2018-06-26,Mechanical Engineering,LAW102,Fall 2023,F,1.32,1.94,Withdrawn,Suspended
Peter Otieno,S76473627,Male,2019-10-21,Law,PSY201,Summer 2024,B,2.13,2.04,Withdrawn,Probation
Alice Njeri,S97407319,Female,2018-03-01,Mechanical Engineering,CS101,Spring 2024,D+,3.63,2.83,Failed,Suspended
Daniel Kariuki,S99261787,Male,2021-07-30,Psychology,BIO150,Fall 2023,B+,2.07,2.45,Completed,Probation
Peter Kariuki,S62211348,Male,2022-03-23,Nursing,ENGR301,Spring 2024,B,1.01,1.73,Completed,Probation
Luke Mwangi,S15777721,Male,2023-06-09,Mechanical Engineering,BIO150,Fall 2023,B,1.84,1.79,Completed,Suspended
Michael Karanja,S33018747,Male,2022-01-02,Business Administration,ENGR301,Fall 2024,D,3.29,2.54,Withdrawn,Probation
David Nyambura,S22670906,Male,2022-08-19,Education,CS101,Spring 2024,F,3.06,2.8,Completed,Probation
Peter Karanja,S97907529,Male,2019-04-17,Business Administration,ENGR301,Summer 2024,B,3.36,3.08,Withdrawn,Good Standing
Lucy Otieno,S83430069,Female,2018-02-28,Computer Science,PSY201,Fall 2023,C+,2.11,2.59,Completed,Suspended
James Karanja,S34939491,Male,2019-04-02,Mechanical Engineering,PSY201,Spring 2024,F,2.05,2.32,Completed,Suspended
Daniel Odhiambo,S25747248,Male,2018-01-22,Computer Science,ECON150,Spring 2024,C+,3.09,2.71,Failed,Probation
Richard Karanja,S22701135,Male,2023-06-26,Psychology,ECON150,Fall 2024,F,2.97,2.84,Failed,Probation
Jane Nyambura,S59023134,Female,2020-03-06,Psychology,MATH250,Spring 2024,A,3.7,3.27,Withdrawn,Good Standing
Daniel Achieng,S24974223,Male,2024-07-07,Mechanical Engineering,LAW102,Spring 2024,A,2.62,2.95,Withdrawn,Probation
Sarah Odhiambo,S54783682,Female,2018-05-24,Mechanical Engineering,LAW102,Fall 2024,D+,3.17,3.06,Failed,Probation
Elizabeth Nyambura,S72019320,Female,2018-02-03,Computer Science,CS101,Fall 2024,A,2.05,2.55,Completed,Suspended
Michael Mwangi,S24671368,Male,2023-07-04,Nursing,ENGR301,Summer 2024,F,3.42,2.98,Withdrawn,Probation
Daniel Wambui,S50559922,Male,2021-12-23,Psychology,CS101,Summer 2024,A,3.33,3.16,Withdrawn,Suspended
Esther Mwangi,S78136921,Female,2023-08-24,Computer Science,PSY201,Summer 2024,A,1.52,2.34,Failed,Good Standing
Sarah Achieng,S69887569,Female,2021-05-16,Computer Science,ECON150,Spring 2024,C+,3.31,2.83,Failed,Suspended
Alice Odhiambo,S78779461,Female,2021-06-26,Education,ENGR301,Fall 2024,C,1.17,2.0,Completed,Good Standing
Sarah Kariuki,S11127330,Female,2022-06-05,Computer Science,ECON150,Fall 2023,C,3.12,2.56,Withdrawn,Suspended
Alice Otieno,S17147998,Female,2020-01-15,Business Administration,MATH250,Fall 2023,C+,2.87,2.71,Withdrawn,Suspended
Lucy Karanja,S77943783,Female,2019-11-12,Computer Science,LAW102,Spring 2024,D,1.16,1.94,Failed,Probation
David Kariuki,S50642529,Male,2021-01-02,Mechanical Engineering,CS101,Fall 2024,A,1.33,1.64,Withdrawn,Good Standing
Joseph Kariuki,S82456703,Male,2020-11-08,Computer Science,LAW102,Fall 2023,D+,3.45,2.54,Withdrawn,Suspended
Daniel Achieng,S24174369,Male,2020-10-26,Law,LAW102,Summer 2024,D+,1.02,1.78,Withdrawn,Suspended
Elizabeth Kariuki,S19180737,Female,2019-09-16,Education,ECON150,Fall 2023,B+,3.87,2.83,Completed,Suspended
Daniel Nyambura,S86538999,Male,2024-07-24,Mechanical Engineering,BIO150,Spring 2024,C,1.65,2.24,Completed,Probation
David Kariuki,S96466429,Male,2023-01-06,Psychology,LAW102,Fall 2023,B+,2.05,2.15,Withdrawn,Good Standing
Jane Karanja,S53837484,Female,2020-08-16,Education,BIO150,Fall 2023,C,3.94,3.04,Failed,Suspended
Grace Achieng,S76911111,Female,2020-07-16,Psychology,CS101,Fall 2024,A,3.61,3.33,Failed,Probation
Lucy Odhiambo,S62539840,Female,2018-06-26,Computer Science,BIO150,Summer 2024,D,2.19,2.76,Withdrawn,Probation
Sarah Nyambura,S79630063,Female,2019-01-29,Law,ECON150,Spring 2024,C+,2.48,2.62,Failed,Good Standing
Jane Karanja,S27264647,Female,2018-11-04,Law,PSY201,Summer 2024,C+,1.42,2.02,Failed,Suspended
Mary Karanja,S34426947,Female,2023-08-27,Education,PSY201,Summer 2024,B+,2.34,2.18,Withdrawn,Probation
Peter Otieno,S49090627,Male,2019-04-17,Computer Science,ECON150,Summer 2024,D+,3.15,2.67,Completed,Good Standing
Elizabeth Karanja,S68505369,Female,2018-04-13,Computer Science,ECON150,Spring 2024,D+,3.67,3.17,Withdrawn,Suspended
Sarah Achieng,S49475703,Female,2019-12-16,Business Administration,ENGR301,Fall 2023,D+,3.84,3.5,Withdrawn,Suspended
Lucy Otieno,S82585887,Female,2021-03-14,Nursing,BIO150,Fall 2023,D+,3.76,3.63,Completed,Good Standing
Richard Otieno,S44390207,Male,2021-12-08,Law,MATH250,Fall 2023,F,2.97,3.3,Completed,Good Standing
Samuel Otieno,S29977410,Male,2018-05-14,Mechanical Engineering,LAW102,Fall 2023,F,1.65,2.47,Failed,Probation
Sarah Wambui,S50181323,Female,2022-01-07,Law,BIO150,Spring 2024,F,2.71,2.59,Failed,Good Standing
Daniel Nyambura,S24737573,Male,2020-04-14,Law,MATH250,Fall 2023,D+,1.54,2.06,Completed,Probation
Grace Mwangi,S88767799,Female,2019-03-26,Education,ECON150,Fall 2023,B+,2.77,2.42,Failed,Suspended
Alice Mwangi,S71149827,Female,2024-01-19,Law,PSY201,Spring 2024,A,3.76,3.09,Failed,Probation
Jane Wambui,S46548786,Female,2019-12-07,Computer Science,MATH250,Spring 2024,B+,2.77,2.93,Completed,Probation
Luke Karanja,S31577447,Male,2021-04-27,Computer Science,ECON150,Fall 2024,B,1.28,2.1,Withdrawn,Suspended
Richard Odhiambo,S34525064,Male,2024-05-22,Education,LAW102,Fall 2023,F,3.56,2.83,Completed,Probation
Wangari Njeri,S93231088,Female,2022-12-14,Computer Science,MATH250,Fall 2023,A,3.05,2.94,Failed,Good Standing
Peter Mwangi,S46788732,Male,2019-06-30,Business Administration,LAW102,Spring 2024,A,1.87,2.41,Withdrawn,Probation
Michael Nyambura,S54961933,Male,2024-04-09,Nursing,PSY201,Fall 2024,B+,3.5,2.96,Withdrawn,Probation
David Karanja,S52157422,Male,2018-02-17,Mechanical Engineering,CS101,Fall 2024,A,1.8,2.38,Completed,Good Standing
Jane Njeri,S75298378,Female,2018-01-23,Computer Science,BIO150,Spring 2024,C+,2.93,2.66,Failed,Probation
Elizabeth Mwangi,S35610504,Female,2021-08-03,Business Administration,LAW102,Fall 2023,F,1.12,1.89,Completed,Good Standing
Peter Odhiambo,S20266253,Male,2023-07-16,Mechanical Engineering,PSY201,Summer 2024,F,3.34,2.61,Failed,Suspended
Michael Karanja,S51495150,Male,2022-07-06,Nursing,LAW102,Spring 2024,D+,3.69,3.15,Failed,Probation
Peter Kariuki,S34991912,Male,2024-09-01,Psychology,LAW102,Summer 2024,B,1.95,2.55,Failed,Suspended
Emily Nyambura,S82024458,Female,2020-12-02,Psychology,ENGR301,Summer 2024,F,2.11,2.33,Withdrawn,Suspended
Michael Kariuki,S24642276,Male,2019-11-06,Mechanical Engineering,CS101,Fall 2024,B+,1.98,2.16,Failed,Probation
Esther Nyambura,S19577425,Female,2020-10-04,Business Administration,LAW102,Summer 2024,C+,3.8,2.98,Withdrawn,Probation
Peter Kariuki,S26912714,Male,2019-02-06,Computer Science,BIO150,Fall 2024,D+,1.26,2.12,Failed,Probation
Daniel Achieng,S12012479,Male,2020-05-14,Psychology,ECON150,Fall 2024,A,1.8,1.96,Completed,Good Standing
Wangari Mwangi,S58195607,Female,2024-12-27,Law,PSY201,Fall 2023,B+,3.74,2.85,Failed,Suspended
Luke Karanja,S41968797,Male,2022-10-17,Mechanical Engineering,BIO150,Fall 2024,A,2.06,2.46,Withdrawn,Good Standing
Joseph Otieno,S28727361,Male,2022-02-16,Psychology,MATH250,Fall 2023,B,1.38,1.92,Withdrawn,Suspended
Elizabeth Nyambura,S62420420,Female,2020-05-26,Mechanical Engineering,LAW102,Spring 2024,D+,1.27,1.59,Failed,Probation
Emily Kariuki,S64813033,Female,2024-05-06,Nursing,PSY201,Fall 2023,B,3.56,2.58,Completed,Suspended
Peter Karanja,S27008339,Male,2019-05-13,Computer Science,MATH250,Fall 2024,B+,1.15,1.86,Failed,Suspended
Esther Odhiambo,S84487727,Female,2020-08-21,Nursing,CS101,Summer 2024,C+,1.62,1.74,Completed,Probation
Richard Wambui,S50328086,Male,2020-02-03,Education,LAW102,Summer 2024,B,1.25,1.5,Failed,Good Standing
Richard Odhiambo,S42594652,Male,2022-09-18,Nursing,ENGR301,Spring 2024,C+,3.86,2.68,Failed,Probation
Mary Wambui,S17822380,Female,2024-01-24,Nursing,MATH250,Spring 2024,C+,2.99,2.83,Failed,Good Standing
Mary Achieng,S39864721,Female,2021-05-31,Psychology,MATH250,Spring 2024,C,1.3,2.06,Failed,Probation
John Odhiambo,S44205767,Male,2022-10-21,Education,LAW102,Fall 2023,C+,2.86,2.46,Completed,Good Standing
Emily Njeri,S29414390,Female,2023-11-20,Computer Science,PSY201,Fall 2023,D+,3.32,2.89,Withdrawn,Probation
Wangari Wambui,S92853479,Female,2022-06-25,Business Administration,PSY201,Spring 2024,F,1.0,1.95,Withdrawn,Suspended
Mary Achieng,S68574839,Female,2024-07-02,Computer Science,PSY201,Fall 2024,C,2.82,2.38,Failed,Good Standing
Elizabeth Nyambura,S69371024,Female,2024-10-18,Law,PSY201,Spring 2024,C+,3.51,2.94,Completed,Suspended
Esther Karanja,S31557432,Female,2021-07-23,Mechanical Engineering,CS101,Spring 2024,D+,2.24,2.59,Withdrawn,Good Standing
Richard Achieng,S40135713,Male,2023-11-19,Nursing,PSY201,Spring 2024,B,2.71,2.65,Failed,Probation
Elizabeth Otieno,S44169348,Female,2023-02-25,Nursing,BIO150,Fall 2023,D,2.07,2.36,Failed,Suspended
Luke Otieno,S65132926,Male,2021-02-20,Nursing,ENGR301,Summer 2024,B+,2.85,2.6,Withdrawn,Probation
Grace Wambui,S66479136,Female,2019-09-27,Law,ENGR301,Fall 2024,C+,1.65,2.12,Withdrawn,Good Standing
Peter Kariuki,S70871008,Male,2019-10-08,Nursing,ECON150,Fall 2023,F,1.78,1.95,Failed,Good Standing
Wangari Otieno,S98348962,Female,2020-07-14,Business Administration,CS101,Summer 2024,B+,3.06,2.5,Withdrawn,Good Standing
Luke Nyambura,S44828891,Male,2024-03-20,Mechanical Engineering,ECON150,Spring 2024,D+,1.78,2.14,Withdrawn,Good Standing
James Kariuki,S46417291,Male,2022-01-21,Business Administration,BIO150,Fall 2024,D,3.04,2.59,Withdrawn,Good Standing
Alice Njeri,S29454625,Female,2021-11-10,Business Administration,MATH250,Spring 2024,F,1.14,1.86,Withdrawn,Suspended
Joseph Karanja,S13685965,Male,2024-04-22,Law,BIO150,Fall 2024,C,3.19,2.52,Completed,Probation
Sarah Mwangi,S40212164,Female,2020-03-29,Law,ECON150,Summer 2024,A,3.53,3.02,Withdrawn,Good Standing
Michael Wambui,S56337581,Male,2024-11-25,Nursing,ENGR301,Summer 2024,B,1.15,2.08,Completed,Good Standing
Sarah Mwangi,S16413293,Female,2022-12-04,Law,CS101,Fall 2023,B+,3.75,2.92,Withdrawn,Probation
James Njeri,S13735134,Male,2023-01-22,Mechanical Engineering,ECON150,Fall 2023,B,2.84,2.88,Withdrawn,Probation
Mary Mwangi,S83348249,Female,2018-02-19,Law,PSY201,Summer 2024,B+,3.79,3.33,Completed,Suspended
Alice Nyambura,S60407306,Female,2023-05-27,Education,CS101,Fall 2024,A,3.33,3.33,Withdrawn,Probation
David Achieng,S14382291,Male,2019-07-19,Computer Science,ENGR301,Fall 2023,D,3.61,3.47,Failed,Probation
Emily Nyambura,S64785782,Female,2018-09-23,Nursing,ENGR301,Fall 2023,D,2.62,3.04,Failed,Good Standing
Lucy Karanja,S55868408,Female,2019-08-12,Nursing,CS101,Spring 2024,D+,1.1,2.07,Completed,Probation
Joseph Kariuki,S22850241,Male,2024-03-05,Law,ECON150,Fall 2024,F,1.44,1.75,Failed,Probation
Jane Wambui,S18734312,Female,2019-09-03,Mechanical Engineering,BIO150,Fall 2023,D+,2.14,1.95,Completed,Good Standing
Alice Achieng,S74490556,Female,2024-08-05,Computer Science,ECON150,Fall 2024,C+,3.75,2.85,Completed,Good Standing
Peter Karanja,S10788314,Male,2024-06-11,Business Administration,ENGR301,Spring 2024,D+,2.72,2.79,Completed,Good Standing
Lucy Mwangi,S42242595,Female,2021-03-29,Computer Science,ECON150,Fall 2024,B+,1.48,2.13,Completed,Good Standing
John Nyambura,S20289719,Male,2020-08-16,Law,BIO150,Fall 2024,C,1.21,1.67,Completed,Good Standing
Michael Njeri,S98746948,Male,2021-04-22,Computer Science,MATH250,Summer 2024,D,2.78,2.22,Failed,Probation
Esther Achieng,S21320605,Female,2020-01-31,Business Administration,PSY201,Fall 2024,D,1.67,1.95,Completed,Good Standing
David Kariuki,S72387495,Male,2024-09-28,Computer Science,ECON150,Summer 2024,A,1.68,1.81,Completed,Good Standing
David Achieng,S81290723,Male,2024-07-04,Business Administration,PSY201,Summer 2024,F,1.39,1.6,Failed,Suspended
Grace Odhiambo,S95461965,Female,2022-04-23,Psychology,MATH250,Fall 2024,B+,3.98,2.79,Withdrawn,Good Standing
Emily Njeri,S84194226,Female,2021-11-13,Law,BIO150,Spring 2024,B+,2.8,2.79,Completed,Good Standing
Peter Karanja,S31781231,Male,2022-12-28,Business Administration,PSY201,Fall 2024,B+,2.93,2.86,Completed,Suspended
Emily Njeri,S29961515,Female,2021-12-18,Psychology,ECON150,Summer 2024,D,2.53,2.69,Withdrawn,Probation
Elizabeth Nyambura,S97750696,Female,2018-01-21,Law,LAW102,Fall 2023,F,3.53,3.11,Completed,Suspended
Lucy Kariuki,S42098681,Female,2022-06-20,Psychology,PSY201,Spring 2024,D+,1.85,2.48,Failed,Suspended
