Full Name,ID No,Gender,Date of Birth,Age,Ethnicity,Disability Status,Household Income,Primary Language,Grade,County,School Type
Michael Wambui,S58964940,Male,06/03/2012,12,Meru,Physical,"> KSh 100,000",Kiswahili,Form 4,Eldoret,Special School
Peter Mwangi,S58318864,Male,11/03/2012,12,Luhya,None,"> KSh 100,000",Kikuyu,Class 3,Kisumu,Public
Jane Achieng,S34745739,Female,14/10/2012,12,Maasai,Learning,"KSh 20,000 - KSh 50,000",Maasai,Form 3,Kisumu,Special School
Sarah Nyambura,S15999791,Female,14/09/2007,17,Luo,Learning,"< KSh 20,000",Kiswahili,Class 4,Uasin Gishu,Special School
Alice Nyambura,S50172068,Female,03/01/2011,13,Maasai,Learning,"KSh 50,000 - KSh 100,000",Luhya,Form 3,Eldoret,Private
Daniel Wambui,S85003918,Male,07/03/2012,12,Coast,None,"> KSh 100,000",Luo,Class 7,Nairobi,Public
Peter Mwangi,S76164828,Male,04/05/2009,15,Kikuyu,None,"KSh 20,000 - KSh 50,000",Maasai,Class 1,Mombasa,Public
Alice Achieng,S78163361,Female,07/01/2009,15,Kisii,Hearing Impairment,"< KSh 20,000",Luo,Form 3,Murang'a,Private
Wangari Njeri,S71568691,Female,23/08/2011,13,Coast,Visual Impairment,"KSh 50,000 - KSh 100,000",Kikuyu,Class 4,Kiambu,Public
Joseph Mwangi,S13263298,Male,02/10/2006,18,Meru,Hearing Impairment,"< KSh 20,000",Swahili,Form 3,Machakos,Private
Alice Achieng,S67474653,Female,02/06/2011,13,Luo,Hearing Impairment,"KSh 20,000 - KSh 50,000",Kiswahili,Class 8,Kisumu,Public
Peter Njeri,S64693035,Male,21/04/2008,16,Kamba,Hearing Impairment,"KSh 20,000 - KSh 50,000",Luhya,Class 5,Kisumu,Public
Emily Karanja,S53844547,Female,24/06/2009,15,Kisii,Visual Impairment,"> KSh 100,000",Kikuyu,Form 4,Machakos,Public
Michael Mwangi,S66264442,Male,16/02/2010,14,Meru,Hearing Impairment,"KSh 20,000 - KSh 50,000",Kiswahili,Class 7,Nairobi,Public
Jane Otieno,S63250687,Female,29/07/2006,18,Coast,Learning,"KSh 50,000 - KSh 100,000",English,Class 2,Mombasa,Private
Michael Otieno,S32226277,Male,24/03/2014,10,Maasai,Visual Impairment,"KSh 20,000 - KSh 50,000",Luhya,Class 2,Nakuru,Public
Sarah Otieno,S45214812,Female,05/02/2009,15,Meru,Hearing Impairment,"KSh 50,000 - KSh 100,000",Swahili,Form 3,Kiambu,Special School
Daniel Odhiambo,S63386091,Male,04/01/2011,13,Kikuyu,Visual Impairment,"KSh 20,000 - KSh 50,000",Maasai,Class 3,Kiambu,Private
Luke Otieno,S35008661,Male,15/01/2013,11,Coast,Hearing Impairment,"KSh 20,000 - KSh 50,000",Kikuyu,Class 4,Uasin Gishu,Special School
Daniel Kariuki,S92211114,Male,08/10/2005,19,Luo,Hearing Impairment,"KSh 50,000 - KSh 100,000",Luhya,Class 5,Kiambu,Public
Lucy Otieno,S49867669,Female,11/01/2008,16,Kisii,Learning,"< KSh 20,000",Luhya,Form 1,Kiambu,Special School
Daniel Mwangi,S25106512,Male,04/08/2007,17,Coast,Hearing Impairment,"> KSh 100,000",English,Class 4,Nyeri,Public
Joseph Karanja,S68540873,Male,27/10/2012,12,Meru,Physical,"KSh 50,000 - KSh 100,000",Luo,Form 3,Kisumu,Public
Jane Wambui,S86484779,Female,07/11/2007,17,Meru,Learning,"KSh 50,000 - KSh 100,000",Kikuyu,Class 3,Murang'a,Private
Alice Achieng,S80730331,Female,14/03/2013,11,Kisii,None,"KSh 50,000 - KSh 100,000",Kikuyu,Form 3,Nairobi,Special School
John Mwangi,S18465604,Male,19/08/2012,12,Luhya,Physical,"> KSh 100,000",Luhya,Class 3,Murang'a,Private
Emily Nyambura,S92197320,Female,08/01/2009,15,Maasai,Hearing Impairment,"KSh 20,000 - KSh 50,000",Swahili,Form 3,Mombasa,Public
Peter Karanja,S44051554,Male,28/10/2011,13,Meru,Hearing Impairment,"< KSh 20,000",Luhya,Class 8,Kiambu,Special School
Emily Karanja,S41278020,Female,30/05/2010,14,Kisii,None,"< KSh 20,000",English,Form 3,Eldoret,Public
Sarah Nyambura,S16255227,Female,29/06/2009,15,Kalenjin,Visual Impairment,"> KSh 100,000",Luo,Class 4,Machakos,Private
John Mwangi,S59708242,Male,16/10/2013,11,Kisii,Visual Impairment,"KSh 20,000 - KSh 50,000",Kiswahili,Form 4,Eldoret,Special School
Elizabeth Achieng,S51218732,Female,13/06/2006,18,Meru,None,"KSh 20,000 - KSh 50,000",Maasai,Class 5,Uasin Gishu,Private
Peter Odhiambo,S84961461,Male,16/10/2011,13,Kikuyu,Visual Impairment,"< KSh 20,000",Swahili,Class 5,Nakuru,Private
John Otieno,S72206540,Male,25/07/2006,18,Kikuyu,None,"KSh 50,000 - KSh 100,000",Swahili,Form 2,Nakuru,Public
Emily Odhiambo,S95563248,Female,04/05/2010,14,Kamba,Physical,"KSh 50,000 - KSh 100,000",Luhya,Class 2,Machakos,Special School
Esther Kariuki,S17583558,Female,21/08/2006,18,Meru,Physical,"KSh 50,000 - KSh 100,000",English,Form 3,Eldoret,Special School
Sarah Achieng,S35320116,Female,14/04/2008,16,Coast,Learning,"KSh 20,000 - KSh 50,000",English,Form 4,Nyeri,Special School
David Achieng,S33676873,Male,07/09/2006,18,Kisii,Learning,"> KSh 100,000",English,Form 1,Nakuru,Public
Wangari Otieno,S92726261,Female,21/08/2006,18,Kikuyu,Learning,"KSh 50,000 - KSh 100,000",Luhya,Class 6,Eldoret,Private
Grace Wambui,S95910932,Female,02/01/2006,18,Luo,None,"< KSh 20,000",Maasai,Class 7,Nakuru,Special School
Samuel Achieng,S28026581,Male,06/12/2008,16,Kalenjin,None,"< KSh 20,000",Maasai,Form 4,Uasin Gishu,Public
Lucy Njeri,S79648666,Female,27/02/2005,19,Kamba,Visual Impairment,"< KSh 20,000",Kiswahili,Class 7,Machakos,Private
Elizabeth Mwangi,S44033772,Female,02/06/2011,13,Kikuyu,Visual Impairment,"< KSh 20,000",Kiswahili,Class 6,Machakos,Special School
Peter Kariuki,S87217875,Male,11/10/2006,18,Maasai,None,"> KSh 100,000",English,Class 5,Eldoret,Special School
Esther Kariuki,S41585678,Female,04/07/2013,11,Kisii,None,"KSh 50,000 - KSh 100,000",Luo,Class 4,Nyeri,Private
Peter Otieno,S63122365,Male,22/03/2006,18,Meru,Hearing Impairment,"KSh 20,000 - KSh 50,000",Kikuyu,Class 5,Kiambu,Private
Jane Njeri,S23586371,Female,31/12/2004,20,Kalenjin,Learning,"KSh 50,000 - KSh 100,000",Swahili,Class 6,Mombasa,Public
Michael Karanja,S11397118,Male,28/11/2009,15,Mijikenda,None,"KSh 20,000 - KSh 50,000",English,Class 6,Kisumu,Special School
Alice Wambui,S20670148,Female,01/11/2005,19,Kisii,Learning,"KSh 50,000 - KSh 100,000",Swahili,Class 4,Mombasa,Private
Peter Wambui,S17150271,Male,14/04/2007,17,Maasai,Learning,"KSh 50,000 - KSh 100,000",Kikuyu,Class 4,Nyeri,Special School
Michael Kariuki,S87797776,Male,09/12/2008,16,Luhya,Learning,"> KSh 100,000",Luhya,Class 4,Machakos,Special School
Elizabeth Achieng,S17816248,Female,17/02/2008,16,Kikuyu,Visual Impairment,"< KSh 20,000",English,Class 8,Nairobi,Private
Daniel Njeri,S22272829,Male,08/06/2006,18,Kisii,None,"KSh 50,000 - KSh 100,000",Luhya,Class 1,Mombasa,Private
Daniel Nyambura,S82054202,Male,08/03/2006,18,Kikuyu,None,"KSh 20,000 - KSh 50,000",Kiswahili,Class 1,Kiambu,Special School
Lucy Njeri,S67393648,Female,01/06/2005,19,Kikuyu,None,"KSh 20,000 - KSh 50,000",Luhya,Form 4,Murang'a,Public
Mary Wambui,S20174040,Female,19/07/2007,17,Meru,Visual Impairment,"> KSh 100,000",Kikuyu,Form 4,Nyeri,Private
Luke Karanja,S13979991,Male,05/05/2006,18,Kamba,None,"< KSh 20,000",Luhya,Class 2,Nakuru,Public
Mary Karanja,S84255767,Female,26/08/2012,12,Coast,None,"< KSh 20,000",Maasai,Class 5,Nakuru,Special School
David Otieno,S18678804,Male,23/06/2005,19,Kamba,Learning,"< KSh 20,000",Swahili,Class 6,Eldoret,Private
Esther Wambui,S47122845,Female,14/04/2007,17,Meru,Hearing Impairment,"KSh 50,000 - KSh 100,000",Swahili,Form 3,Nakuru,Special School
Emily Mwangi,S41488197,Female,02/06/2009,15,Luhya,Learning,"> KSh 100,000",English,Class 2,Eldoret,Special School
Esther Wambui,S21427897,Female,13/02/2012,12,Maasai,Hearing Impairment,"KSh 20,000 - KSh 50,000",Swahili,Class 6,Murang'a,Special School
Lucy Wambui,S99495831,Female,04/09/2007,17,Maasai,Physical,"< KSh 20,000",Luhya,Class 6,Kisumu,Private
David Otieno,S90666455,Male,12/12/2013,11,Kamba,Physical,"< KSh 20,000",English,Form 4,Machakos,Private
Luke Odhiambo,S72867670,Male,11/02/2006,18,Kikuyu,Learning,"> KSh 100,000",Kikuyu,Form 1,Kisumu,Public
Peter Karanja,S15930965,Male,02/12/2004,20,Kamba,None,"< KSh 20,000",Kikuyu,Form 2,Nakuru,Special School
Jane Otieno,S45166196,Female,09/10/2013,11,Mijikenda,Visual Impairment,"< KSh 20,000",Kiswahili,Class 4,Nyeri,Private
Michael Karanja,S72745185,Male,09/12/2012,12,Kalenjin,None,"> KSh 100,000",Kiswahili,Class 5,Kiambu,Public
Wangari Otieno,S72256165,Female,21/08/2009,15,Luhya,None,"KSh 20,000 - KSh 50,000",Swahili,Form 1,Uasin Gishu,Special School
Elizabeth Odhiambo,S37333679,Female,23/01/2012,12,Maasai,None,"KSh 20,000 - KSh 50,000",Luo,Class 6,Machakos,Public
Luke Kariuki,S17984398,Male,20/04/2009,15,Luo,None,"KSh 20,000 - KSh 50,000",Luo,Class 1,Eldoret,Private
Alice Achieng,S40288121,Female,25/11/2009,15,Kamba,Visual Impairment,"KSh 20,000 - KSh 50,000",Maasai,Form 4,Uasin Gishu,Public
Mary Achieng,S55738042,Female,21/06/2011,13,Kamba,Learning,"KSh 50,000 - KSh 100,000",Kikuyu,Form 4,Nairobi,Public
David Njeri,S25820514,Male,14/09/2012,12,Kisii,Learning,"KSh 50,000 - KSh 100,000",Luo,Class 7,Mombasa,Private
Joseph Mwangi,S19956847,Male,18/03/2006,18,Kikuyu,Visual Impairment,"KSh 20,000 - KSh 50,000",Luo,Form 1,Eldoret,Private
Lucy Mwangi,S94812858,Female,29/07/2010,14,Kalenjin,None,"KSh 50,000 - KSh 100,000",Swahili,Class 3,Kiambu,Private
James Otieno,S84125554,Male,17/01/2013,11,Coast,Visual Impairment,"KSh 20,000 - KSh 50,000",Luo,Class 7,Machakos,Special School
Wangari Njeri,S81697214,Female,04/03/2010,14,Luhya,Visual Impairment,"> KSh 100,000",Luo,Class 6,Nakuru,Public
Alice Mwangi,S42159303,Female,16/01/2005,19,Mijikenda,None,"KSh 50,000 - KSh 100,000",Swahili,Class 6,Nyeri,Special School
Esther Njeri,S97798255,Female,20/10/2008,16,Luo,Hearing Impairment,"KSh 20,000 - KSh 50,000",Maasai,Class 3,Uasin Gishu,Private
Sarah Otieno,S50809097,Female,14/07/2012,12,Kisii,Hearing Impairment,"KSh 20,000 - KSh 50,000",Kikuyu,Form 3,Nakuru,Private
Emily Kariuki,S61793413,Female,08/04/2010,14,Kalenjin,Visual Impairment,"< KSh 20,000",Kiswahili,Form 1,Mombasa,Public
Daniel Kariuki,S22915208,Male,12/09/2006,18,Coast,Learning,"KSh 50,000 - KSh 100,000",Kikuyu,Form 2,Mombasa,Public
Joseph Achieng,S36304690,Male,21/03/2013,11,Luo,Hearing Impairment,"KSh 20,000 - KSh 50,000",Maasai,Class 6,Kiambu,Private
Luke Karanja,S88217800,Male,10/02/2005,19,Kalenjin,Hearing Impairment,"KSh 50,000 - KSh 100,000",Luo,Class 2,Nakuru,Private
Wangari Odhiambo,S90233664,Female,26/03/2011,13,Meru,None,"> KSh 100,000",English,Form 2,Kiambu,Special School
Lucy Otieno,S32073217,Female,24/05/2013,11,Kikuyu,Learning,"KSh 20,000 - KSh 50,000",Swahili,Form 4,Uasin Gishu,Private
David Kariuki,S29353499,Male,14/01/2013,11,Mijikenda,Learning,"KSh 20,000 - KSh 50,000",Luo,Form 4,Nyeri,Special School
Peter Nyambura,S74591264,Male,02/09/2007,17,Kalenjin,Visual Impairment,"< KSh 20,000",Kiswahili,Class 6,Murang'a,Public
Sarah Mwangi,S12972425,Female,01/06/2006,18,Kisii,Learning,"< KSh 20,000",Swahili,Class 4,Kisumu,Special School
Esther Njeri,S55905339,Female,07/01/2013,11,Luo,Physical,"< KSh 20,000",Maasai,Form 3,Uasin Gishu,Private
Elizabeth Odhiambo,S36587496,Female,25/11/2008,16,Meru,None,"< KSh 20,000",Luhya,Class 4,Nyeri,Public
Esther Odhiambo,S25496592,Female,25/06/2008,16,Kisii,Visual Impairment,"> KSh 100,000",Luhya,Class 5,Kiambu,Private
David Nyambura,S22152460,Male,07/06/2007,17,Coast,Physical,"< KSh 20,000",Maasai,Class 6,Murang'a,Special School
Samuel Kariuki,S69345008,Male,05/10/2006,18,Luhya,None,"< KSh 20,000",Luo,Class 7,Uasin Gishu,Public
Grace Wambui,S11809936,Female,24/08/2007,17,Kisii,Learning,"> KSh 100,000",Kiswahili,Class 2,Murang'a,Special School
Jane Odhiambo,S88060880,Female,18/04/2007,17,Coast,Visual Impairment,"> KSh 100,000",Luo,Class 5,Kisumu,Public
Daniel Mwangi,S21500003,Male,02/05/2009,15,Mijikenda,Learning,"KSh 20,000 - KSh 50,000",Swahili,Form 3,Nairobi,Special School
David Mwangi,S22368057,Male,22/06/2010,14,Meru,None,"KSh 50,000 - KSh 100,000",Swahili,Class 8,Eldoret,Public
Sarah Mwangi,S84096532,Female,15/11/2014,10,Meru,Hearing Impairment,"> KSh 100,000",Luhya,Class 4,Eldoret,Private
Sarah Njeri,S54557627,Female,06/01/2012,12,Meru,None,"> KSh 100,000",Kiswahili,Class 7,Uasin Gishu,Special School
Wangari Achieng,S13047278,Female,29/10/2011,13,Kisii,None,"KSh 50,000 - KSh 100,000",Swahili,Class 1,Nairobi,Special School
John Njeri,S13699231,Male,30/12/2009,15,Mijikenda,None,"KSh 20,000 - KSh 50,000",Luhya,Class 8,Nakuru,Special School
Emily Otieno,S39002714,Female,13/05/2007,17,Maasai,None,"< KSh 20,000",Luhya,Form 2,Machakos,Public
Lucy Achieng,S38128011,Female,18/10/2009,15,Kalenjin,Hearing Impairment,"< KSh 20,000",English,Class 7,Nyeri,Public
Samuel Karanja,S67476344,Male,04/05/2008,16,Luo,Physical,"KSh 50,000 - KSh 100,000",Kikuyu,Class 2,Uasin Gishu,Special School
Grace Achieng,S73696461,Female,11/12/2004,20,Mijikenda,None,"KSh 20,000 - KSh 50,000",Kiswahili,Class 6,Murang'a,Special School
Daniel Mwangi,S92763469,Male,07/09/2013,11,Luo,Learning,"KSh 50,000 - KSh 100,000",Kiswahili,Class 6,Kisumu,Private
Wangari Otieno,S28871465,Female,01/11/2006,18,Kikuyu,Physical,"KSh 20,000 - KSh 50,000",English,Class 4,Nyeri,Public
Alice Achieng,S48145592,Female,26/02/2010,14,Mijikenda,None,"KSh 20,000 - KSh 50,000",English,Class 1,Eldoret,Private
Daniel Njeri,S59806328,Male,07/12/2008,16,Coast,Physical,"KSh 20,000 - KSh 50,000",Luhya,Class 1,Nyeri,Private
Joseph Kariuki,S14800818,Male,21/08/2008,16,Coast,Visual Impairment,"KSh 50,000 - KSh 100,000",Kikuyu,Class 5,Eldoret,Public
Richard Nyambura,S35773356,Male,02/03/2011,13,Coast,Visual Impairment,"> KSh 100,000",Swahili,Class 3,Kisumu,Private
Esther Nyambura,S42702800,Female,13/08/2012,12,Luhya,Physical,"KSh 20,000 - KSh 50,000",Kikuyu,Class 8,Mombasa,Private
Sarah Karanja,S96296511,Female,25/12/2011,13,Kisii,None,"< KSh 20,000",Kiswahili,Class 6,Machakos,Private
Esther Odhiambo,S43244894,Female,13/08/2012,12,Luhya,Learning,"< KSh 20,000",Luo,Class 3,Kisumu,Private
Esther Achieng,S95265664,Female,05/05/2011,13,Kisii,Visual Impairment,"KSh 20,000 - KSh 50,000",Kikuyu,Class 7,Nairobi,Special School
Michael Otieno,S89732068,Male,01/11/2006,18,Meru,Visual Impairment,"KSh 20,000 - KSh 50,000",English,Class 5,Uasin Gishu,Public
Wangari Njeri,S19139567,Female,22/09/2014,10,Luo,None,"KSh 50,000 - KSh 100,000",Maasai,Form 2,Nakuru,Private
Peter Kariuki,S96087136,Male,05/09/2010,14,Kisii,Learning,"> KSh 100,000",Luhya,Class 3,Nyeri,Special School
Jane Achieng,S22504388,Female,11/01/2011,13,Meru,None,"KSh 20,000 - KSh 50,000",English,Form 1,Nakuru,Private
Mary Njeri,S49149816,Female,25/07/2006,18,Meru,Learning,"KSh 50,000 - KSh 100,000",Swahili,Form 4,Nyeri,Public
Luke Karanja,S68020874,Male,31/05/2005,19,Luo,Learning,"KSh 50,000 - KSh 100,000",Maasai,Class 7,Kiambu,Private
Jane Mwangi,S48723662,Female,18/01/2005,19,Kisii,Hearing Impairment,"KSh 20,000 - KSh 50,000",Kikuyu,Form 2,Nyeri,Public
David Kariuki,S99373220,Male,06/01/2011,13,Kalenjin,Learning,"KSh 20,000 - KSh 50,000",English,Class 3,Mombasa,Private
Daniel Njeri,S55213335,Male,25/06/2012,12,Maasai,Learning,"KSh 20,000 - KSh 50,000",Kiswahili,Form 2,Kiambu,Private
Richard Achieng,S10899012,Male,01/08/2014,10,Mijikenda,Physical,"> KSh 100,000",English,Class 5,Nakuru,Public
Mary Njeri,S95457490,Female,06/05/2013,11,Kikuyu,Visual Impairment,"< KSh 20,000",Kiswahili,Class 7,Eldoret,Special School
David Kariuki,S34936974,Male,24/05/2012,12,Coast,Visual Impairment,"KSh 20,000 - KSh 50,000",Luhya,Form 2,Eldoret,Private
Elizabeth Kariuki,S95269161,Female,26/04/2013,11,Kikuyu,Hearing Impairment,"KSh 20,000 - KSh 50,000",Swahili,Class 4,Mombasa,Special School
Lucy Wambui,S29176433,Female,24/08/2012,12,Coast,Hearing Impairment,"> KSh 100,000",Kiswahili,Class 1,Kiambu,Public
Peter Kariuki,S62794313,Male,06/06/2009,15,Maasai,Visual Impairment,"> KSh 100,000",Kiswahili,Form 2,Eldoret,Private
James Karanja,S62386719,Male,05/02/2007,17,Kisii,Hearing Impairment,"< KSh 20,000",Swahili,Form 2,Machakos,Public
Peter Nyambura,S53179633,Male,11/08/2006,18,Kikuyu,Physical,"< KSh 20,000",Luo,Class 1,Machakos,Special School
Jane Nyambura,S73498154,Female,10/05/2006,18,Luhya,None,"> KSh 100,000",Kiswahili,Class 4,Nairobi,Special School
Luke Wambui,S16948626,Male,13/07/2011,13,Kikuyu,Learning,"KSh 50,000 - KSh 100,000",Kikuyu,Form 4,Nakuru,Special School
Emily Mwangi,S47382996,Female,25/04/2012,12,Mijikenda,Visual Impairment,"KSh 50,000 - KSh 100,000",Swahili,Class 5,Murang'a,Private
Michael Mwangi,S60897083,Male,09/11/2012,12,Luo,Physical,"< KSh 20,000",Kiswahili,Form 3,Nyeri,Special School
Michael Njeri,S15793456,Male,19/10/2013,11,Kamba,Physical,"> KSh 100,000",Kikuyu,Class 6,Murang'a,Special School
Alice Kariuki,S49891749,Female,17/10/2007,17,Kikuyu,Physical,"< KSh 20,000",Maasai,Class 5,Eldoret,Private
Esther Otieno,S14159536,Female,06/05/2014,10,Kamba,Visual Impairment,"> KSh 100,000",Kikuyu,Form 3,Kiambu,Public
Mary Wambui,S52547589,Female,23/01/2013,11,Luhya,Visual Impairment,"KSh 20,000 - KSh 50,000",Kiswahili,Class 6,Machakos,Special School
David Karanja,S69323943,Male,04/05/2006,18,Luo,Visual Impairment,"> KSh 100,000",Luo,Class 6,Nyeri,Special School
Joseph Otieno,S39826209,Male,13/05/2013,11,Maasai,Physical,"KSh 50,000 - KSh 100,000",Luhya,Form 4,Nakuru,Public
Elizabeth Achieng,S47475363,Female,20/10/2011,13,Mijikenda,Visual Impairment,"< KSh 20,000",Kiswahili,Class 3,Kiambu,Private
Wangari Kariuki,S71784142,Female,14/10/2008,16,Kikuyu,Learning,"> KSh 100,000",Luhya,Class 7,Eldoret,Special School
Wangari Achieng,S59857855,Female,18/12/2009,15,Maasai,None,"< KSh 20,000",English,Form 3,Machakos,Special School
James Otieno,S77588508,Male,23/01/2012,12,Kisii,Hearing Impairment,"> KSh 100,000",Kiswahili,Class 1,Mombasa,Special School
Mary Wambui,S87534384,Female,07/08/2008,16,Maasai,Learning,"> KSh 100,000",Maasai,Form 2,Uasin Gishu,Special School
Peter Wambui,S28629869,Male,20/03/2008,16,Kikuyu,Physical,"KSh 50,000 - KSh 100,000",Kikuyu,Form 3,Machakos,Special School
Daniel Otieno,S10435117,Male,17/03/2009,15,Kamba,Learning,"KSh 20,000 - KSh 50,000",Luhya,Form 2,Nyeri,Private
Lucy Kariuki,S75453609,Female,03/05/2009,15,Maasai,Learning,"KSh 50,000 - KSh 100,000",Luhya,Class 1,Nyeri,Private
John Njeri,S61248614,Male,17/11/2011,13,Mijikenda,Physical,"KSh 20,000 - KSh 50,000",Kikuyu,Class 2,Uasin Gishu,Private
Grace Karanja,S18191198,Female,21/05/2011,13,Kalenjin,Hearing Impairment,"KSh 20,000 - KSh 50,000",Luo,Class 7,Murang'a,Private
Elizabeth Wambui,S25401210,Female,23/03/2009,15,Meru,Learning,"KSh 20,000 - KSh 50,000",Swahili,Class 3,Nakuru,Public
James Kariuki,S14942318,Male,10/09/2005,19,Meru,Physical,"> KSh 100,000",Maasai,Class 8,Nyeri,Public
Esther Njeri,S82113881,Female,30/05/2008,16,Meru,Physical,"< KSh 20,000",Luhya,Class 7,Kiambu,Public
Joseph Wambui,S78921485,Male,16/03/2012,12,Coast,Hearing Impairment,"> KSh 100,000",Luo,Form 3,Murang'a,Public
Jane Otieno,S68133794,Female,15/09/2005,19,Luhya,Learning,"> KSh 100,000",Luhya,Class 5,Nakuru,Public
David Odhiambo,S70265034,Male,02/11/2007,17,Kalenjin,Physical,"> KSh 100,000",Maasai,Class 1,Murang'a,Private
John Odhiambo,S67190232,Male,01/04/2006,18,Kalenjin,Learning,"KSh 50,000 - KSh 100,000",Swahili,Class 1,Uasin Gishu,Special School
Alice Karanja,S57215432,Female,23/02/2006,18,Maasai,Visual Impairment,"< KSh 20,000",Luhya,Class 8,Uasin Gishu,Public
Michael Wambui,S42143706,Male,05/08/2007,17,Kikuyu,None,"> KSh 100,000",Luo,Class 3,Machakos,Special School
Elizabeth Achieng,S51060990,Female,02/04/2008,16,Kisii,Visual Impairment,"KSh 20,000 - KSh 50,000",Kiswahili,Form 4,Uasin Gishu,Public
Elizabeth Achieng,S19943856,Female,08/11/2014,10,Mijikenda,Visual Impairment,"KSh 20,000 - KSh 50,000",English,Class 5,Kiambu,Private
Lucy Nyambura,S27500075,Female,26/12/2010,14,Maasai,Visual Impairment,"KSh 50,000 - KSh 100,000",Kiswahili,Class 2,Nairobi,Special School
Daniel Nyambura,S50917925,Male,01/05/2009,15,Coast,Physical,"KSh 20,000 - KSh 50,000",Luhya,Class 5,Uasin Gishu,Special School
Elizabeth Mwangi,S73484468,Female,13/10/2009,15,Mijikenda,Learning,"KSh 50,000 - KSh 100,000",Kiswahili,Class 7,Nyeri,Public
Sarah Njeri,S94189232,Female,07/04/2014,10,Coast,Learning,"< KSh 20,000",Luo,Class 5,Uasin Gishu,Public
Michael Mwangi,S87614887,Male,12/09/2006,18,Kikuyu,Learning,"KSh 20,000 - KSh 50,000",English,Class 6,Kiambu,Special School
Luke Nyambura,S95183349,Male,31/05/2005,19,Luhya,Learning,"< KSh 20,000",Luo,Form 4,Eldoret,Public
Mary Achieng,S76534827,Female,24/06/2007,17,Luo,Hearing Impairment,"< KSh 20,000",Maasai,Class 6,Uasin Gishu,Public
Mary Wambui,S79324541,Female,14/10/2014,10,Meru,Physical,"KSh 50,000 - KSh 100,000",Luhya,Class 8,Nakuru,Private
Esther Kariuki,S70105139,Female,23/10/2011,13,Luo,Hearing Impairment,"KSh 50,000 - KSh 100,000",English,Form 3,Eldoret,Special School
Luke Wambui,S48616122,Male,31/07/2014,10,Luo,Visual Impairment,"< KSh 20,000",English,Form 4,Nakuru,Private
Elizabeth Njeri,S34759144,Female,25/09/2013,11,Maasai,Physical,"KSh 20,000 - KSh 50,000",Luo,Form 2,Kiambu,Special School
Grace Achieng,S79801232,Female,03/04/2013,11,Luhya,Hearing Impairment,"KSh 20,000 - KSh 50,000",Luo,Class 7,Eldoret,Public
Michael Wambui,S93845734,Male,23/06/2009,15,Kalenjin,Learning,"< KSh 20,000",Kiswahili,Class 8,Kiambu,Private
James Kariuki,S66010606,Male,28/05/2013,11,Luhya,Learning,"< KSh 20,000",Luo,Form 4,Murang'a,Public
Mary Karanja,S46384565,Female,20/04/2009,15,Kalenjin,Physical,"KSh 50,000 - KSh 100,000",Maasai,Class 6,Uasin Gishu,Private
Mary Wambui,S27448936,Female,18/08/2013,11,Coast,None,"KSh 20,000 - KSh 50,000",Swahili,Form 1,Murang'a,Public
Sarah Odhiambo,S34061338,Female,23/10/2013,11,Coast,Physical,"< KSh 20,000",Swahili,Class 1,Nairobi,Private
Lucy Nyambura,S47173393,Female,11/11/2007,17,Luo,Learning,"> KSh 100,000",Maasai,Class 8,Kisumu,Public
Luke Nyambura,S87751520,Male,11/01/2008,16,Kisii,None,"KSh 50,000 - KSh 100,000",Luo,Class 5,Murang'a,Public
John Karanja,S71693009,Male,20/09/2009,15,Kalenjin,Visual Impairment,"KSh 50,000 - KSh 100,000",English,Class 1,Kiambu,Public
Luke Wambui,S46488268,Male,21/05/2012,12,Luo,Visual Impairment,"< KSh 20,000",Swahili,Class 6,Nakuru,Public
Elizabeth Kariuki,S36152875,Female,29/06/2011,13,Maasai,Visual Impairment,"< KSh 20,000",Maasai,Class 3,Mombasa,Public
Grace Kariuki,S48546601,Female,25/12/2004,20,Luhya,Visual Impairment,"< KSh 20,000",Luhya,Class 2,Eldoret,Public
Michael Nyambura,S98095402,Male,16/08/2005,19,Mijikenda,None,"KSh 20,000 - KSh 50,000",Kikuyu,Class 8,Machakos,Special School
Luke Achieng,S79141545,Male,04/10/2008,16,Kikuyu,None,"KSh 50,000 - KSh 100,000",English,Form 3,Kiambu,Special School
Peter Achieng,S15911021,Male,08/01/2010,14,Luo,Visual Impairment,"> KSh 100,000",English,Class 8,Eldoret,Public
Mary Karanja,S69868288,Female,30/04/2009,15,Luo,Physical,"KSh 20,000 - KSh 50,000",Kikuyu,Form 3,Eldoret,Special School
Lucy Odhiambo,S57558278,Female,25/09/2009,15,Meru,Learning,"< KSh 20,000",Kikuyu,Class 7,Kiambu,Private
James Karanja,S71269945,Male,22/08/2005,19,Meru,Physical,"> KSh 100,000",Swahili,Class 3,Nakuru,Public
Emily Nyambura,S82637643,Female,22/04/2008,16,Maasai,Visual Impairment,"KSh 20,000 - KSh 50,000",Luo,Class 5,Nakuru,Public
Richard Karanja,S67805955,Male,15/10/2007,17,Coast,Visual Impairment,"> KSh 100,000",Swahili,Class 4,Murang'a,Public
Alice Karanja,S32871407,Female,28/02/2011,13,Maasai,Hearing Impairment,"KSh 20,000 - KSh 50,000",Kiswahili,Class 4,Uasin Gishu,Private
Lucy Wambui,S34996309,Female,15/06/2006,18,Kisii,Hearing Impairment,"> KSh 100,000",Kiswahili,Form 1,Nairobi,Private
Sarah Njeri,S76175740,Female,09/05/2011,13,Mijikenda,None,"> KSh 100,000",English,Class 7,Kisumu,Private
